instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_count,bln,musim,cuaca
28,2011-01-02,1,0,1,3,0,0,Weekend,2,0.46,0.4545,0.94,0.194,2,4,6,Jan,Spring,Cloudy
29,2011-01-02,1,0,1,4,0,0,Weekend,2,0.46,0.4545,0.94,0.194,2,1,3,Jan,Spring,Cloudy
30,2011-01-02,1,0,1,6,0,0,Weekend,3,0.42,0.4242,0.77,0.2985,0,2,2,Jan,Spring,Light Snow
31,2011-01-02,1,0,1,7,0,0,Weekend,2,0.4,0.4091,0.76,0.194,0,1,1,Jan,Spring,Cloudy
32,2011-01-02,1,0,1,8,0,0,Weekend,3,0.4,0.4091,0.71,0.2239,0,8,8,Jan,Spring,Light Snow
33,2011-01-02,1,0,1,9,0,0,Weekend,2,0.38,0.3939,0.76,0.2239,1,19,20,Jan,Spring,Cloudy
34,2011-01-02,1,0,1,10,0,0,Weekend,2,0.36,0.3485,0.81,0.2239,7,46,53,Jan,Spring,Cloudy
35,2011-01-02,1,0,1,11,0,0,Weekend,2,0.36,0.3333,0.71,0.2537,16,54,70,Jan,Spring,Cloudy
36,2011-01-02,1,0,1,12,0,0,Weekend,2,0.36,0.3333,0.66,0.2985,20,73,93,Jan,Spring,Cloudy
37,2011-01-02,1,0,1,13,0,0,Weekend,2,0.36,0.3485,0.66,0.1343,11,64,75,Jan,Spring,Cloudy
38,2011-01-02,1,0,1,14,0,0,Weekend,3,0.36,0.3485,0.76,0.194,4,55,59,Jan,Spring,Light Snow
39,2011-01-02,1,0,1,15,0,0,Weekend,3,0.34,0.3333,0.81,0.1642,19,55,74,Jan,Spring,Light Snow
40,2011-01-02,1,0,1,16,0,0,Weekend,3,0.34,0.3333,0.71,0.1642,9,67,76,Jan,Spring,Light Snow
41,2011-01-02,1,0,1,17,0,0,Weekend,1,0.34,0.3333,0.57,0.194,7,58,65,Jan,Spring,Clear
42,2011-01-02,1,0,1,18,0,0,Weekend,2,0.36,0.3333,0.46,0.3284,10,43,53,Jan,Spring,Cloudy
43,2011-01-02,1,0,1,19,0,0,Weekend,1,0.32,0.2879,0.42,0.4478,1,29,30,Jan,Spring,Clear
44,2011-01-02,1,0,1,20,0,0,Weekend,1,0.3,0.2727,0.39,0.3582,5,17,22,Jan,Spring,Clear
45,2011-01-02,1,0,1,21,0,0,Weekend,1,0.26,0.2273,0.44,0.3284,11,20,31,Jan,Spring,Clear
46,2011-01-02,1,0,1,22,0,0,Weekend,1,0.24,0.2121,0.44,0.2985,0,9,9,Jan,Spring,Clear
47,2011-01-02,1,0,1,23,0,0,Weekend,1,0.22,0.2273,0.47,0.1642,0,8,8,Jan,Spring,Clear
48,2011-01-03,1,0,1,0,0,1,Weekday,1,0.22,0.197,0.44,0.3582,0,5,5,Jan,Spring,Clear
49,2011-01-03,1,0,1,1,0,1,Weekday,1,0.2,0.1667,0.44,0.4179,0,2,2,Jan,Spring,Clear
50,2011-01-03,1,0,1,4,0,1,Weekday,1,0.16,0.1364,0.47,0.3881,0,1,1,Jan,Spring,Clear
51,2011-01-03,1,0,1,5,0,1,Weekday,1,0.16,0.1364,0.47,0.2836,0,3,3,Jan,Spring,Clear
52,2011-01-03,1,0,1,6,0,1,Weekday,1,0.14,0.1061,0.5,0.3881,0,30,30,Jan,Spring,Clear
53,2011-01-03,1,0,1,7,0,1,Weekday,1,0.14,0.1364,0.5,0.194,1,63,64,Jan,Spring,Clear
54,2011-01-03,1,0,1,8,0,1,Weekday,1,0.14,0.1212,0.5,0.2836,1,153,154,Jan,Spring,Clear
55,2011-01-03,1,0,1,9,0,1,Weekday,1,0.16,0.1364,0.43,0.3881,7,81,88,Jan,Spring,Clear
56,2011-01-03,1,0,1,10,0,1,Weekday,1,0.18,0.1667,0.43,0.2537,11,33,44,Jan,Spring,Clear
57,2011-01-03,1,0,1,11,0,1,Weekday,1,0.2,0.1818,0.4,0.3284,10,41,51,Jan,Spring,Clear
58,2011-01-03,1,0,1,12,0,1,Weekday,1,0.22,0.2121,0.35,0.2985,13,48,61,Jan,Spring,Clear
59,2011-01-03,1,0,1,13,0,1,Weekday,1,0.24,0.2121,0.35,0.2836,8,53,61,Jan,Spring,Clear
60,2011-01-03,1,0,1,14,0,1,Weekday,1,0.26,0.2424,0.3,0.2836,11,66,77,Jan,Spring,Clear
61,2011-01-03,1,0,1,15,0,1,Weekday,1,0.26,0.2424,0.3,0.2537,14,58,72,Jan,Spring,Clear
62,2011-01-03,1,0,1,16,0,1,Weekday,1,0.26,0.2424,0.3,0.2537,9,67,76,Jan,Spring,Clear
63,2011-01-03,1,0,1,17,0,1,Weekday,1,0.24,0.2273,0.3,0.2239,11,146,157,Jan,Spring,Clear
64,2011-01-03,1,0,1,18,0,1,Weekday,1,0.24,0.2576,0.32,0.1045,9,148,157,Jan,Spring,Clear
65,2011-01-03,1,0,1,19,0,1,Weekday,1,0.2,0.2576,0.47,0.0,8,102,110,Jan,Spring,Clear
66,2011-01-03,1,0,1,20,0,1,Weekday,1,0.2,0.2273,0.47,0.1045,3,49,52,Jan,Spring,Clear
67,2011-01-03,1,0,1,21,0,1,Weekday,1,0.18,0.197,0.64,0.1343,3,49,52,Jan,Spring,Clear
68,2011-01-03,1,0,1,22,0,1,Weekday,1,0.14,0.1515,0.69,0.1343,0,20,20,Jan,Spring,Clear
69,2011-01-03,1,0,1,23,0,1,Weekday,1,0.18,0.2121,0.55,0.1045,1,11,12,Jan,Spring,Clear
70,2011-01-04,1,0,1,0,0,2,Weekday,1,0.16,0.1818,0.55,0.1045,0,5,5,Jan,Spring,Clear
71,2011-01-04,1,0,1,1,0,2,Weekday,1,0.16,0.1818,0.59,0.1045,0,2,2,Jan,Spring,Clear
72,2011-01-04,1,0,1,2,0,2,Weekday,1,0.14,0.1515,0.63,0.1343,0,1,1,Jan,Spring,Clear
73,2011-01-04,1,0,1,4,0,2,Weekday,1,0.14,0.1818,0.63,0.0896,0,2,2,Jan,Spring,Clear
74,2011-01-04,1,0,1,5,0,2,Weekday,1,0.12,0.1515,0.68,0.1045,0,4,4,Jan,Spring,Clear
75,2011-01-04,1,0,1,6,0,2,Weekday,1,0.12,0.1515,0.74,0.1045,0,36,36,Jan,Spring,Clear
76,2011-01-04,1,0,1,7,0,2,Weekday,1,0.12,0.1515,0.74,0.1343,2,92,94,Jan,Spring,Clear
77,2011-01-04,1,0,1,8,0,2,Weekday,1,0.14,0.1515,0.69,0.1642,2,177,179,Jan,Spring,Clear
78,2011-01-04,1,0,1,9,0,2,Weekday,1,0.16,0.1515,0.64,0.2239,2,98,100,Jan,Spring,Clear
79,2011-01-04,1,0,1,10,0,2,Weekday,2,0.16,0.1364,0.69,0.3284,5,37,42,Jan,Spring,Cloudy
80,2011-01-04,1,0,1,11,0,2,Weekday,1,0.22,0.2121,0.51,0.2985,7,50,57,Jan,Spring,Clear
81,2011-01-04,1,0,1,12,0,2,Weekday,1,0.22,0.2273,0.51,0.1642,12,66,78,Jan,Spring,Clear
82,2011-01-04,1,0,1,13,0,2,Weekday,1,0.24,0.2273,0.56,0.194,18,79,97,Jan,Spring,Clear
83,2011-01-04,1,0,1,14,0,2,Weekday,1,0.26,0.2576,0.52,0.2239,9,54,63,Jan,Spring,Clear
84,2011-01-04,1,0,1,15,0,2,Weekday,1,0.28,0.2727,0.52,0.2537,17,48,65,Jan,Spring,Clear
85,2011-01-04,1,0,1,16,0,2,Weekday,1,0.3,0.2879,0.49,0.2537,15,68,83,Jan,Spring,Clear
86,2011-01-04,1,0,1,17,0,2,Weekday,1,0.28,0.2727,0.48,0.2239,10,202,212,Jan,Spring,Clear
87,2011-01-04,1,0,1,18,0,2,Weekday,1,0.26,0.2576,0.48,0.194,3,179,182,Jan,Spring,Clear
88,2011-01-04,1,0,1,19,0,2,Weekday,1,0.24,0.2576,0.48,0.1045,2,110,112,Jan,Spring,Clear
89,2011-01-04,1,0,1,20,0,2,Weekday,1,0.24,0.2576,0.48,0.1045,1,53,54,Jan,Spring,Clear
90,2011-01-04,1,0,1,21,0,2,Weekday,1,0.22,0.2727,0.64,0.0,0,48,48,Jan,Spring,Clear
91,2011-01-04,1,0,1,22,0,2,Weekday,1,0.22,0.2576,0.64,0.0896,1,34,35,Jan,Spring,Clear
92,2011-01-04,1,0,1,23,0,2,Weekday,1,0.2,0.2273,0.69,0.0896,2,9,11,Jan,Spring,Clear
93,2011-01-05,1,0,1,0,0,3,Weekday,1,0.2,0.2576,0.64,0.0,0,6,6,Jan,Spring,Clear
94,2011-01-05,1,0,1,1,0,3,Weekday,1,0.16,0.197,0.74,0.0896,0,6,6,Jan,Spring,Clear
95,2011-01-05,1,0,1,2,0,3,Weekday,1,0.16,0.197,0.74,0.0896,0,2,2,Jan,Spring,Clear
96,2011-01-05,1,0,1,4,0,3,Weekday,1,0.24,0.2273,0.48,0.2239,0,2,2,Jan,Spring,Clear
97,2011-01-05,1,0,1,5,0,3,Weekday,1,0.22,0.2273,0.47,0.1642,0,3,3,Jan,Spring,Clear
98,2011-01-05,1,0,1,6,0,3,Weekday,1,0.2,0.197,0.47,0.2239,0,33,33,Jan,Spring,Clear
99,2011-01-05,1,0,1,7,0,3,Weekday,1,0.18,0.1818,0.43,0.194,1,87,88,Jan,Spring,Clear
100,2011-01-05,1,0,1,8,0,3,Weekday,1,0.2,0.1818,0.4,0.2985,3,192,195,Jan,Spring,Clear
101,2011-01-05,1,0,1,9,0,3,Weekday,1,0.22,0.197,0.37,0.3284,6,109,115,Jan,Spring,Clear
102,2011-01-05,1,0,1,10,0,3,Weekday,1,0.22,0.197,0.37,0.3284,4,53,57,Jan,Spring,Clear
103,2011-01-05,1,0,1,11,0,3,Weekday,1,0.26,0.2273,0.33,0.3284,12,34,46,Jan,Spring,Clear
104,2011-01-05,1,0,1,12,0,3,Weekday,1,0.26,0.2273,0.33,0.3284,5,74,79,Jan,Spring,Clear
105,2011-01-05,1,0,1,13,0,3,Weekday,1,0.28,0.2576,0.3,0.2985,6,65,71,Jan,Spring,Clear
106,2011-01-05,1,0,1,14,0,3,Weekday,1,0.3,0.2879,0.28,0.194,10,52,62,Jan,Spring,Clear
107,2011-01-05,1,0,1,15,0,3,Weekday,1,0.3,0.2879,0.28,0.194,7,55,62,Jan,Spring,Clear
108,2011-01-05,1,0,1,16,0,3,Weekday,1,0.3,0.3182,0.28,0.0896,4,85,89,Jan,Spring,Clear
109,2011-01-05,1,0,1,17,0,3,Weekday,1,0.24,0.2273,0.38,0.194,4,186,190,Jan,Spring,Clear
110,2011-01-05,1,0,1,18,0,3,Weekday,1,0.24,0.2424,0.38,0.1343,3,166,169,Jan,Spring,Clear
111,2011-01-05,1,0,1,19,0,3,Weekday,1,0.24,0.2576,0.38,0.1045,5,127,132,Jan,Spring,Clear
112,2011-01-05,1,0,1,20,0,3,Weekday,1,0.22,0.2273,0.47,0.1642,7,82,89,Jan,Spring,Clear
113,2011-01-05,1,0,1,21,0,3,Weekday,1,0.2,0.197,0.51,0.194,3,40,43,Jan,Spring,Clear
114,2011-01-05,1,0,1,22,0,3,Weekday,1,0.18,0.197,0.55,0.1343,1,41,42,Jan,Spring,Clear
115,2011-01-05,1,0,1,23,0,3,Weekday,1,0.2,0.2576,0.47,0.0,1,18,19,Jan,Spring,Clear
116,2011-01-06,1,0,1,0,0,4,Weekday,1,0.18,0.2424,0.55,0.0,0,11,11,Jan,Spring,Clear
117,2011-01-06,1,0,1,1,0,4,Weekday,1,0.16,0.2273,0.64,0.0,0,4,4,Jan,Spring,Clear
118,2011-01-06,1,0,1,2,0,4,Weekday,1,0.16,0.2273,0.64,0.0,0,2,2,Jan,Spring,Clear
119,2011-01-06,1,0,1,4,0,4,Weekday,2,0.16,0.197,0.64,0.0896,0,1,1,Jan,Spring,Cloudy
120,2011-01-06,1,0,1,5,0,4,Weekday,2,0.14,0.1818,0.69,0.0896,0,4,4,Jan,Spring,Cloudy
121,2011-01-06,1,0,1,6,0,4,Weekday,2,0.14,0.1667,0.63,0.1045,0,36,36,Jan,Spring,Cloudy
122,2011-01-06,1,0,1,7,0,4,Weekday,2,0.16,0.2273,0.59,0.0,0,95,95,Jan,Spring,Cloudy
123,2011-01-06,1,0,1,8,0,4,Weekday,1,0.16,0.2273,0.59,0.0,3,216,219,Jan,Spring,Clear
124,2011-01-06,1,0,1,9,0,4,Weekday,2,0.18,0.2424,0.51,0.0,6,116,122,Jan,Spring,Cloudy
125,2011-01-06,1,0,1,10,0,4,Weekday,1,0.2,0.2576,0.47,0.0,3,42,45,Jan,Spring,Clear
126,2011-01-06,1,0,1,11,0,4,Weekday,1,0.22,0.2576,0.44,0.0896,2,57,59,Jan,Spring,Clear
127,2011-01-06,1,0,1,12,0,4,Weekday,1,0.26,0.2879,0.35,0.0,6,78,84,Jan,Spring,Clear
128,2011-01-06,1,0,1,13,0,4,Weekday,1,0.26,0.2727,0.35,0.1045,12,55,67,Jan,Spring,Clear
129,2011-01-06,1,0,1,14,0,4,Weekday,1,0.28,0.2727,0.36,0.1642,11,59,70,Jan,Spring,Clear
130,2011-01-06,1,0,1,15,0,4,Weekday,1,0.28,0.2727,0.36,0.0,8,54,62,Jan,Spring,Clear
131,2011-01-06,1,0,1,16,0,4,Weekday,1,0.26,0.2576,0.38,0.1642,12,74,86,Jan,Spring,Clear
132,2011-01-06,1,0,1,17,0,4,Weekday,1,0.22,0.2273,0.51,0.1642,9,163,172,Jan,Spring,Clear
133,2011-01-06,1,0,1,18,0,4,Weekday,1,0.22,0.2273,0.51,0.1343,5,158,163,Jan,Spring,Clear
134,2011-01-06,1,0,1,19,0,4,Weekday,1,0.22,0.2576,0.55,0.0896,3,109,112,Jan,Spring,Clear
135,2011-01-06,1,0,1,20,0,4,Weekday,1,0.2,0.2121,0.51,0.1642,3,66,69,Jan,Spring,Clear
136,2011-01-06,1,0,1,21,0,4,Weekday,2,0.22,0.2121,0.55,0.2239,0,48,48,Jan,Spring,Cloudy
137,2011-01-06,1,0,1,22,0,4,Weekday,2,0.22,0.2121,0.51,0.2836,1,51,52,Jan,Spring,Cloudy
138,2011-01-06,1,0,1,23,0,4,Weekday,2,0.2,0.197,0.59,0.194,4,19,23,Jan,Spring,Cloudy
139,2011-01-07,1,0,1,0,0,5,Weekday,2,0.2,0.197,0.64,0.194,4,13,17,Jan,Spring,Cloudy
140,2011-01-07,1,0,1,1,0,5,Weekday,2,0.2,0.197,0.69,0.2239,2,5,7,Jan,Spring,Cloudy
141,2011-01-07,1,0,1,2,0,5,Weekday,2,0.2,0.197,0.69,0.2239,0,1,1,Jan,Spring,Cloudy
142,2011-01-07,1,0,1,4,0,5,Weekday,2,0.2,0.2121,0.69,0.1343,0,1,1,Jan,Spring,Cloudy
143,2011-01-07,1,0,1,5,0,5,Weekday,3,0.22,0.2727,0.55,0.0,0,5,5,Jan,Spring,Light Snow
144,2011-01-07,1,0,1,6,0,5,Weekday,2,0.2,0.2576,0.69,0.0,8,26,34,Jan,Spring,Cloudy
145,2011-01-07,1,0,1,7,0,5,Weekday,1,0.2,0.2121,0.69,0.1343,8,76,84,Jan,Spring,Clear
146,2011-01-07,1,0,1,8,0,5,Weekday,1,0.2,0.197,0.51,0.2537,20,190,210,Jan,Spring,Clear
147,2011-01-07,1,0,1,9,0,5,Weekday,1,0.2,0.1818,0.47,0.2985,9,125,134,Jan,Spring,Clear
148,2011-01-07,1,0,1,10,0,5,Weekday,1,0.22,0.197,0.37,0.3284,16,47,63,Jan,Spring,Clear
149,2011-01-07,1,0,1,11,0,5,Weekday,2,0.2,0.197,0.4,0.2239,19,48,67,Jan,Spring,Cloudy
150,2011-01-07,1,0,1,12,0,5,Weekday,2,0.2,0.197,0.37,0.2537,9,50,59,Jan,Spring,Cloudy
151,2011-01-07,1,0,1,13,0,5,Weekday,2,0.2,0.1818,0.37,0.2836,9,64,73,Jan,Spring,Cloudy
152,2011-01-07,1,0,1,14,0,5,Weekday,2,0.2,0.197,0.4,0.2537,7,43,50,Jan,Spring,Cloudy
153,2011-01-07,1,0,1,15,0,5,Weekday,2,0.2,0.2121,0.37,0.1642,9,63,72,Jan,Spring,Cloudy
154,2011-01-07,1,0,1,16,0,5,Weekday,2,0.2,0.2121,0.37,0.1642,5,82,87,Jan,Spring,Cloudy
155,2011-01-07,1,0,1,17,0,5,Weekday,2,0.2,0.2576,0.37,0.0,9,178,187,Jan,Spring,Cloudy
156,2011-01-07,1,0,1,18,0,5,Weekday,1,0.2,0.2273,0.4,0.0896,7,116,123,Jan,Spring,Clear
157,2011-01-07,1,0,1,19,0,5,Weekday,1,0.16,0.197,0.55,0.0896,3,92,95,Jan,Spring,Clear
158,2011-01-07,1,0,1,20,0,5,Weekday,1,0.18,0.2121,0.47,0.1045,1,50,51,Jan,Spring,Clear
159,2011-01-07,1,0,1,21,0,5,Weekday,1,0.18,0.197,0.47,0.1343,0,39,39,Jan,Spring,Clear
160,2011-01-07,1,0,1,22,0,5,Weekday,2,0.18,0.197,0.43,0.1642,2,34,36,Jan,Spring,Cloudy
161,2011-01-07,1,0,1,23,0,5,Weekday,2,0.18,0.197,0.51,0.1642,1,14,15,Jan,Spring,Cloudy
162,2011-01-08,1,0,1,0,0,6,Weekend,2,0.18,0.197,0.51,0.1642,1,24,25,Jan,Spring,Cloudy
163,2011-01-08,1,0,1,1,0,6,Weekend,2,0.18,0.2121,0.55,0.0896,1,15,16,Jan,Spring,Cloudy
164,2011-01-08,1,0,1,2,0,6,Weekend,2,0.18,0.2424,0.55,0.0,3,13,16,Jan,Spring,Cloudy
165,2011-01-08,1,0,1,3,0,6,Weekend,3,0.18,0.197,0.55,0.1642,0,7,7,Jan,Spring,Light Snow
166,2011-01-08,1,0,1,4,0,6,Weekend,3,0.18,0.197,0.55,0.1642,0,1,1,Jan,Spring,Light Snow
167,2011-01-08,1,0,1,5,0,6,Weekend,2,0.16,0.1667,0.74,0.1642,0,5,5,Jan,Spring,Cloudy
168,2011-01-08,1,0,1,6,0,6,Weekend,2,0.16,0.1667,0.74,0.1642,0,2,2,Jan,Spring,Cloudy
169,2011-01-08,1,0,1,7,0,6,Weekend,2,0.16,0.1818,0.74,0.1045,1,8,9,Jan,Spring,Cloudy
170,2011-01-08,1,0,1,8,0,6,Weekend,3,0.16,0.1818,0.93,0.1045,0,15,15,Jan,Spring,Light Snow
171,2011-01-08,1,0,1,9,0,6,Weekend,3,0.16,0.1818,0.93,0.1045,0,20,20,Jan,Spring,Light Snow
172,2011-01-08,1,0,1,10,0,6,Weekend,2,0.18,0.197,0.8,0.1642,5,56,61,Jan,Spring,Cloudy
173,2011-01-08,1,0,1,11,0,6,Weekend,2,0.2,0.1818,0.69,0.3881,2,60,62,Jan,Spring,Cloudy
174,2011-01-08,1,0,1,12,0,6,Weekend,2,0.2,0.1818,0.59,0.3582,8,90,98,Jan,Spring,Cloudy
175,2011-01-08,1,0,1,13,0,6,Weekend,1,0.2,0.1818,0.44,0.3284,7,95,102,Jan,Spring,Clear
176,2011-01-08,1,0,1,14,0,6,Weekend,1,0.2,0.1667,0.32,0.4925,12,83,95,Jan,Spring,Clear
177,2011-01-08,1,0,1,15,0,6,Weekend,1,0.2,0.1667,0.32,0.4478,5,69,74,Jan,Spring,Clear
178,2011-01-08,1,0,1,16,0,6,Weekend,1,0.18,0.1364,0.29,0.4478,8,68,76,Jan,Spring,Clear
179,2011-01-08,1,0,1,17,0,6,Weekend,1,0.16,0.1212,0.37,0.5522,5,64,69,Jan,Spring,Clear
180,2011-01-08,1,0,1,18,0,6,Weekend,1,0.14,0.1212,0.39,0.2985,3,52,55,Jan,Spring,Clear
181,2011-01-08,1,0,1,19,0,6,Weekend,1,0.14,0.1212,0.36,0.2537,4,26,30,Jan,Spring,Clear
182,2011-01-08,1,0,1,20,0,6,Weekend,1,0.12,0.1212,0.36,0.2537,0,28,28,Jan,Spring,Clear
183,2011-01-08,1,0,1,21,0,6,Weekend,1,0.12,0.1061,0.39,0.3582,2,35,37,Jan,Spring,Clear
184,2011-01-08,1,0,1,22,0,6,Weekend,1,0.12,0.1061,0.36,0.3881,1,33,34,Jan,Spring,Clear
185,2011-01-08,1,0,1,23,0,6,Weekend,1,0.1,0.0606,0.39,0.4478,0,22,22,Jan,Spring,Clear
186,2011-01-09,1,0,1,0,0,0,Weekend,1,0.1,0.0758,0.42,0.3881,1,24,25,Jan,Spring,Clear
187,2011-01-09,1,0,1,1,0,0,Weekend,1,0.1,0.0606,0.42,0.4627,0,12,12,Jan,Spring,Clear
188,2011-01-09,1,0,1,2,0,0,Weekend,1,0.1,0.0606,0.46,0.4627,0,11,11,Jan,Spring,Clear
189,2011-01-09,1,0,1,3,0,0,Weekend,1,0.1,0.0758,0.46,0.4179,0,4,4,Jan,Spring,Clear
190,2011-01-09,1,0,1,4,0,0,Weekend,1,0.08,0.0909,0.53,0.194,0,1,1,Jan,Spring,Clear
191,2011-01-09,1,0,1,5,0,0,Weekend,1,0.08,0.0909,0.53,0.194,0,1,1,Jan,Spring,Clear
192,2011-01-09,1,0,1,6,0,0,Weekend,1,0.1,0.0909,0.49,0.2836,0,1,1,Jan,Spring,Clear
193,2011-01-09,1,0,1,7,0,0,Weekend,1,0.08,0.0909,0.53,0.194,1,5,6,Jan,Spring,Clear
194,2011-01-09,1,0,1,8,0,0,Weekend,1,0.1,0.0909,0.49,0.2836,0,10,10,Jan,Spring,Clear
195,2011-01-09,1,0,1,9,0,0,Weekend,1,0.12,0.0758,0.46,0.5224,0,19,19,Jan,Spring,Clear
196,2011-01-09,1,0,1,10,0,0,Weekend,1,0.14,0.1061,0.43,0.3881,0,49,49,Jan,Spring,Clear
197,2011-01-09,1,0,1,11,0,0,Weekend,1,0.16,0.1212,0.4,0.5224,2,47,49,Jan,Spring,Clear
198,2011-01-09,1,0,1,12,0,0,Weekend,1,0.18,0.1364,0.37,0.4478,4,79,83,Jan,Spring,Clear
199,2011-01-09,1,0,1,13,0,0,Weekend,1,0.2,0.1667,0.34,0.4478,6,69,75,Jan,Spring,Clear
200,2011-01-09,1,0,1,14,0,0,Weekend,1,0.22,0.1818,0.32,0.4627,8,64,72,Jan,Spring,Clear
201,2011-01-09,1,0,1,15,0,0,Weekend,1,0.22,0.197,0.35,0.3582,5,77,82,Jan,Spring,Clear
202,2011-01-09,1,0,1,16,0,0,Weekend,1,0.2,0.1667,0.34,0.4478,13,79,92,Jan,Spring,Clear
203,2011-01-09,1,0,1,17,0,0,Weekend,1,0.18,0.1515,0.37,0.3881,3,59,62,Jan,Spring,Clear
204,2011-01-09,1,0,1,18,0,0,Weekend,1,0.16,0.1364,0.4,0.3284,4,44,48,Jan,Spring,Clear
205,2011-01-09,1,0,1,19,0,0,Weekend,1,0.16,0.1364,0.43,0.3284,1,40,41,Jan,Spring,Clear
206,2011-01-09,1,0,1,20,0,0,Weekend,1,0.14,0.1212,0.46,0.2537,0,38,38,Jan,Spring,Clear
207,2011-01-09,1,0,1,21,0,0,Weekend,1,0.14,0.1061,0.46,0.4179,1,19,20,Jan,Spring,Clear
208,2011-01-09,1,0,1,22,0,0,Weekend,1,0.14,0.1212,0.46,0.2985,5,10,15,Jan,Spring,Clear
209,2011-01-09,1,0,1,23,0,0,Weekend,1,0.12,0.1364,0.5,0.194,0,6,6,Jan,Spring,Clear
210,2011-01-10,1,0,1,0,0,1,Weekday,1,0.12,0.1212,0.5,0.2836,2,3,5,Jan,Spring,Clear
211,2011-01-10,1,0,1,1,0,1,Weekday,1,0.12,0.1212,0.5,0.2836,1,0,1,Jan,Spring,Clear
212,2011-01-10,1,0,1,2,0,1,Weekday,1,0.12,0.1212,0.5,0.2239,0,3,3,Jan,Spring,Clear
213,2011-01-10,1,0,1,3,0,1,Weekday,1,0.12,0.1212,0.5,0.2239,0,1,1,Jan,Spring,Clear
214,2011-01-10,1,0,1,4,0,1,Weekday,1,0.1,0.1212,0.54,0.1343,1,2,3,Jan,Spring,Clear
215,2011-01-10,1,0,1,5,0,1,Weekday,1,0.1,0.1061,0.54,0.2537,0,3,3,Jan,Spring,Clear
